Name,Stmts,Miss,Branch,BrPart,Cover
Lib\test\test_importlib\import_\test_fromlist.py,108,107,6,0,1%
Lib\test\test_importlib\import_\test_meta_path.py,87,86,14,0,1%
Lib\test\test_importlib\import_\test_packages.py,77,76,4,0,1%
Lib\test\test_importlib\import_\test_path.py,205,204,28,0,1%
Lib\test\test_importlib\import_\test_relative_imports.py,122,121,12,0,1%
Lib\test\test_importlib\namespace_pkgs\module_and_namespace_package\a_test.py,1,0,0,0,100%
Lib\test\test_importlib\resources\__init__.py,0,0,0,0,100%
Lib\test\test_importlib\resources\util.py,114,72,18,0,38%
Lib\test\test_importlib\source\__init__.py,4,1,0,0,75%
Lib\test\test_importlib\source\test_case_sensitivity.py,56,54,8,0,3%
Lib\test\test_importlib\source\test_file_loader.py,531,530,92,0,1%
Lib\test\test_importlib\source\test_finder.py,124,123,22,0,1%
Lib\test\test_importlib\source\test_path_hook.py,19,18,4,0,4%
Lib\test\test_importlib\source\test_source_encoding.py,94,93,14,0,1%
Lib\test\test_importlib\stubs.py,5,1,4,0,89%
Lib\test\test_importlib\test_abc.py,621,610,118,0,1%
Lib\test\test_importlib\test_api.py,323,322,48,0,1%
Lib\test\test_importlib\test_compatibilty_files.py,67,63,6,0,5%
Lib\test\test_importlib\test_contents.py,19,5,10,0,76%
Lib\test\test_importlib\test_files.py,29,11,10,1,69%
Lib\test\test_importlib\test_lazy.py,99,92,16,0,6%
Lib\test\test_importlib\test_locks.py,94,93,26,0,1%
Lib\test\test_importlib\test_main.py,166,153,30,0,7%
Lib\test\test_importlib\test_metadata_api.py,194,141,32,0,27%
Lib\test\test_importlib\test_namespace_pkgs.py,236,226,38,0,4%
Lib\test\test_importlib\test_open.py,54,32,14,1,51%
Lib\test\test_importlib\test_path.py,37,20,12,1,57%
Lib\test\test_importlib\test_pkg_import.py,57,40,14,1,28%
Lib\test\test_importlib\test_read.py,41,20,14,1,62%
Lib\test\test_importlib\test_reader.py,81,75,12,0,6%
Lib\test\test_importlib\test_resource.py,145,88,24,1,45%
Lib\test\test_importlib\test_spec.py,586,585,40,0,1%
Lib\test\test_importlib\test_threaded_import.py,169,130,30,1,23%
Lib\test\test_importlib\test_util.py,555,554,72,0,1%
Lib\test\test_importlib\test_windows.py,137,136,26,0,1%
Lib\test\test_importlib\test_zip.py,41,24,8,0,43%
Lib\test\test_importlib\util.py,275,227,97,4,15%
Lib\test\test_importlib\zipdata01\__init__.py,0,0,0,0,100%
Lib\test\test_importlib\zipdata02\__init__.py,0,0,0,0,100%
Lib\test\test_index.py,212,155,44,1,33%
Lib\test\test_inspect.py,2806,2771,638,0,1%
Lib\test\test_int.py,423,419,102,0,1%
Lib\test\test_int_literal.py,91,82,4,1,13%
Lib\test\test_interpreters.py,487,378,52,0,25%
Lib\test\test_io.py,3326,2811,514,1,16%
Lib\test\test_ioctl.py,66,60,12,0,8%
Lib\test\test_ipaddress.py,1543,1331,130,1,15%
Lib\test\test_isinstance.py,229,180,72,1,21%
Lib\test\test_iter.py,766,671,176,1,12%
Lib\test\test_iterlen.py,125,77,40,1,52%
Lib\test\test_itertools.py,1711,1484,575,1,12%
Lib\test\test_json\__init__.py,40,33,12,0,13%
Lib\test\test_keyword.py,25,14,6,1,45%
Lib\test\test_keywordonlyarg.py,134,105,18,1,22%
Lib\test\test_kqueue.py,185,177,22,1,4%
Lib\test\test_largefile.py,203,151,34,1,27%
Lib\test\test_launcher.py,355,291,105,2,16%
Lib\test\test_lib2to3.py,7,2,2,0,56%
Lib\test\test_linecache.py,184,132,42,1,31%
Lib\test\test_list.py,188,164,40,1,12%
Lib\test\test_listcomps.py,9,3,2,1,64%
Lib\test\test_lltrace.py,68,53,16,1,21%
Lib\test\test_locale.py,407,292,92,1,33%
Lib\test\test_logging.py,3017,2981,411,0,1%
Lib\test\test_long.py,983,893,251,1,8%
Lib\test\test_longexp.py,8,4,4,1,58%
Lib\test\test_lzma.py,1089,929,56,1,15%
Lib\test\test_mailbox.py,1569,1310,356,6,16%
Lib\test\test_mailcap.py,87,59,28,1,34%
Lib\test\test_marshal.py,470,438,134,1,7%
Lib\test\test_math.py,1444,1301,278,2,9%
Lib\test\test_memoryio.py,699,595,48,1,17%
Lib\test\test_memoryview.py,418,331,118,3,22%
Lib\test\test_metaclass.py,12,4,4,2,62%
Lib\test\test_mimetypes.py,233,186,18,1,22%
Lib\test\test_minidom.py,969,810,96,29,18%
Lib\test\test_mmap.py,673,589,80,2,12%
Lib\test\test_module.py,254,204,30,1,20%
Lib\test\test_modulefinder.py,120,73,22,1,35%
Lib\test\test_msilib.py,109,101,8,0,7%
Lib\test\test_multibytecodec.py,258,195,42,1,27%
Lib\test\test_multiprocessing_fork.py,13,6,8,2,43%
Lib\test\test_multiprocessing_forkserver.py,11,4,6,2,53%
Lib\test\test_multiprocessing_main_handling.py,153,101,20,2,36%
Lib\test\test_multiprocessing_spawn.py,8,2,4,2,67%
Lib\test\test_netrc.py,133,101,18,1,23%
Lib\test\test_nis.py,31,24,14,0,16%
Lib\test\test_nntplib.py,993,980,212,0,1%
Lib\test\test_ntpath.py,666,565,40,1,16%
Lib\test\test_numeric_tower.py,114,92,38,1,18%
Lib\test\test_opcache.py,17,14,12,0,17%
Lib\test\test_opcodes.py,99,97,28,0,2%
Lib\test\test_openpty.py,14,11,8,1,18%
Lib\test\test_operator.py,566,560,100,0,1%
Lib\test\test_optparse.py,808,533,126,1,38%
Lib\test\test_ordered_dict.py,770,756,150,0,2%
Lib\test\test_os.py,3004,2348,574,5,21%
Lib\test\test_ossaudiodev.py,130,122,20,0,5%
Lib\test\test_osx_env.py,20,10,4,1,54%
Lib\test\test_pathlib.py,2220,1948,150,4,13%
Lib\test\test_pdb.py,374,359,42,0,4%
Lib\test\test_peepholer.py,437,388,128,1,10%
Lib\test\test_peg_generator\__init__.py,8,2,2,1,70%
Lib\test\test_peg_generator\test_c_parser.py,157,104,8,1,34%
Lib\test\test_peg_generator\test_first_sets.py,76,44,2,0,44%
Lib\test\test_peg_generator\test_grammar_validator.py,29,17,8,0,38%
Lib\test\test_peg_generator\test_pegen.py,345,275,8,0,22%
Lib\test\test_pep646_syntax.py,8,4,2,1,50%
Lib\test\test_pickle.py,380,366,148,0,3%
Lib\test\test_picklebuffer.py,112,91,8,1,22%
Lib\test\test_pickletools.py,47,43,10,0,7%
Lib\test\test_pipes.py,140,132,16,0,5%
Lib\test\test_pkg.py,144,122,36,1,14%
Lib\test\test_pkgutil.py,400,337,44,1,18%
Lib\test\test_platform.py,269,215,49,1,18%
Lib\test\test_plistlib.py,439,335,100,1,21%
Lib\test\test_poll.py,178,164,42,0,6%
Lib\test\test_popen.py,40,25,10,3,40%
Lib\test\test_poplib.py,380,364,58,0,4%
Lib\test\test_positional_only_arg.py,345,307,36,1,11%
Lib\test\test_posix.py,1411,1405,199,0,1%
Lib\test\test_posixpath.py,523,415,38,1,20%
Lib\test\test_pow.py,127,115,68,1,8%
Lib\test\test_pprint.py,477,349,96,1,31%
Lib\test\test_print.py,115,93,16,2,23%
Lib\test\test_profile.py,114,112,24,0,1%
Lib\test\test_property.py,249,155,74,1,41%
Lib\test\test_pstats.py,86,82,24,0,4%
Lib\test\test_pty.py,293,290,60,0,1%
Lib\test\test_pulldom.py,239,200,36,1,19%
Lib\test\test_pwd.py,77,73,24,0,4%
Lib\test\test_py_compile.py,195,127,26,1,38%
Lib\test\test_pyclbr.py,150,144,70,0,3%
Lib\test\test_pydoc.py,826,802,148,0,2%
Lib\test\test_pyexpat.py,448,343,58,1,26%
Lib\test\test_queue.py,457,447,100,0,2%
Lib\test\test_quopri.py,90,53,24,1,35%
Lib\test\test_raise.py,391,338,30,1,16%
Lib\test\test_random.py,817,699,196,1,13%
Lib\test\test_range.py,521,484,92,1,7%
Lib\test\test_re.py,1883,1688,252,1,10%
Lib\test\test_readline.py,188,163,36,2,13%
Lib\test\test_regrtest.py,770,756,184,0,1%
Lib\test\test_repl.py,57,38,10,2,37%
Lib\test\test_reprlib.py,289,226,40,1,24%
Lib\test\test_resource.py,126,118,22,0,5%
Lib\test\test_richcmp.py,245,194,112,2,19%
Lib\test\test_rlcompleter.py,105,86,32,1,18%
Lib\test\test_robotparser.py,188,183,58,0,2%
Lib\test\test_runpy.py,546,455,112,1,16%
Lib\test\test_sax.py,1038,1031,76,0,1%
Lib\test\test_sched.py,180,152,34,1,15%
Lib\test\test_scope.py,463,414,62,1,10%
Lib\test\test_script_helper.py,93,65,6,1,33%
Lib\test\test_secrets.py,81,63,32,1,22%
Lib\test\test_select.py,78,52,26,1,32%
Lib\test\test_selectors.py,393,321,58,3,20%
Lib\test\test_set.py,1610,1194,518,1,26%
Lib\test\test_setcomps.py,9,3,2,1,64%
Lib\test\test_shelve.py,162,103,18,1,41%
Lib\test\test_shlex.py,163,130,54,2,17%
Lib\test\test_shutil.py,1934,1591,219,2,18%
Lib\test\test_signal.py,527,376,118,1,27%
Lib\test\test_site.py,415,394,83,0,4%
Lib\test\test_slice.py,174,150,40,1,14%
Lib\test\test_smtpd.py,697,685,50,0,2%
Lib\test\test_smtplib.py,1077,1049,124,0,2%
Lib\test\test_smtpnet.py,72,51,10,1,32%
Lib\test\test_sndhdr.py,25,20,8,0,15%
Lib\test\test_socket.py,4171,2922,618,5,32%
Lib\test\test_socketserver.py,342,248,86,3,26%
Lib\test\test_sort.py,262,230,124,1,11%
Lib\test\test_source_encoding.py,161,116,10,1,32%
Lib\test\test_spwd.py,60,56,10,0,6%
Lib\test\test_sqlite3\__init__.py,10,2,2,1,75%
Lib\test\test_sqlite3\test_backup.py,126,104,8,1,19%
Lib\test\test_sqlite3\test_dbapi.py,1122,1107,186,0,1%
Lib\test\test_sqlite3\test_dump.py,31,23,12,1,26%
Lib\test\test_sqlite3\test_factory.py,222,177,40,1,23%
Lib\test\test_sqlite3\test_hooks.py,171,167,28,0,2%
Lib\test\test_sqlite3\test_regression.py,280,273,56,0,2%
Lib\test\test_sqlite3\test_transactions.py,233,230,20,0,1%
Lib\test\test_sqlite3\test_types.py,388,293,56,1,26%
Lib\test\test_sqlite3\test_userfunctions.py,598,588,152,0,1%
Lib\test\test_ssl.py,3275,3256,585,0,1%
Lib\test\test_stable_abi_ctypes.py,10,3,4,0,64%
Lib\test\test_startfile.py,24,10,4,1,61%
Lib\test\test_stat.py,153,144,42,0,5%
Lib\test\test_statistics.py,1807,1783,488,0,1%
Lib\test\test_strftime.py,104,85,46,1,16%
Lib\test\test_string.py,364,316,64,1,13%
Lib\test\test_string_literals.py,168,139,14,1,18%
Lib\test\test_stringprep.py,44,39,4,1,17%
Lib\test\test_strptime.py,439,411,64,1,7%
Lib\test\test_strtod.py,170,148,68,2,11%
Lib\test\test_struct.py,510,452,126,1,10%
Lib\test\test_structmembers.py,90,65,12,1,29%
Lib\test\test_structseq.py,102,83,28,1,17%
Lib\test\test_subclassinit.py,211,190,94,1,8%
Lib\test\test_subprocess.py,1996,1630,306,4,17%
Lib\test\test_sunau.py,89,20,18,2,79%
Lib\test\test_sundry.py,44,36,8,1,21%
Lib\test\test_super.py,227,179,74,1,22%
Lib\test\test_support.py,432,339,36,1,21%
Lib\test\test_symtable.py,159,117,10,2,28%
Lib\test\test_syntax.py,184,140,26,1,22%
Lib\test\test_sys.py,1053,923,178,1,12%
Lib\test\test_sys_setprofile.py,254,195,36,2,25%
Lib\test\test_sysconfig.py,319,307,60,0,3%
Lib\test\test_syslog.py,25,23,4,0,7%
Lib\test\test_tabnanny.py,165,121,32,0,29%
Lib\test\test_tarfile.py,1923,1492,302,1,25%
Lib\test\test_tcl.py,563,551,56,0,2%
Lib\test\test_telnetlib.py,285,216,52,2,27%
Lib\test\test_tempfile.py,1087,908,176,3,18%
Lib\test\test_textwrap.py,453,362,56,1,22%
Lib\test\test_thread.py,199,158,48,1,22%
Lib\test\test_threadedtempfile.py,36,19,14,1,44%
Lib\test\test_threading.py,878,705,176,1,21%
Lib\test\test_threading_local.py,150,117,34,1,23%
Lib\test\test_threadsignals.py,141,132,14,1,6%
Lib\test\test_time.py,684,626,178,1,7%
Lib\test\test_timeit.py,239,168,16,1,30%
Lib\test\test_timeout.py,149,107,18,1,31%
Lib\test\test_tix.py,24,16,8,1,28%
Lib\test\test_tk.py,12,5,4,1,50%
Lib\test\test_tokenize.py,708,705,94,0,1%
Lib\test\test_tomllib\__init__.py,6,1,0,0,83%
Lib\test\test_tomllib\burntsushi.py,70,61,54,0,7%
Lib\test\test_tomllib\test_data.py,43,22,12,0,49%
Lib\test\test_tomllib\test_error.py,35,27,4,0,26%
Lib\test\test_tomllib\test_misc.py,50,36,6,0,29%
Lib\test\test_tools\__init__.py,30,6,8,3,76%
Lib\test\test_tools\test_fixcid.py,44,30,2,0,35%
Lib\test\test_tools\test_freeze.py,19,6,2,0,71%
Lib\test\test_tools\test_gprof2html.py,24,13,4,1,50%
Lib\test\test_tools\test_i18n.py,179,137,36,0,20%
Lib\test\test_tools\test_lll.py,24,12,6,1,50%
Lib\test\test_tools\test_md5sum.py,63,41,6,1,36%
Lib\test\test_tools\test_pathfix.py,57,39,10,1,31%
Lib\test\test_tools\test_pdeps.py,19,8,4,1,61%
Lib\test\test_tools\test_pindent.py,102,78,6,1,25%
Lib\test\test_tools\test_reindent.py,21,9,4,1,60%
Lib\test\test_tools\test_sundry.py,34,17,14,1,42%
Lib\test\test_trace.py,309,229,46,1,28%
Lib\test\test_traceback.py,1529,1482,164,3,3%
Lib\test\test_tracemalloc.py,654,560,56,1,15%
Lib\test\test_ttk_guionly.py,27,20,6,1,24%
Lib\test\test_ttk_textonly.py,185,181,34,0,2%
Lib\test\test_tuple.py,264,227,62,1,12%
Lib\test\test_turtle.py,261,255,38,0,2%
Lib\test\test_type_annotations.py,84,77,20,0,9%
Lib\test\test_type_cache.py,32,26,8,0,15%
Lib\test\test_type_comments.py,160,119,56,1,20%
Lib\test\test_typechecks.py,48,32,14,1,40%
Lib\test\test_types.py,1603,1458,305,1,9%
Lib\test\test_typing.py,4730,4717,1306,0,1%
Lib\test\test_ucn.py,128,123,26,0,3%
Lib\test\test_unary.py,39,30,6,1,27%
Lib\test\test_unicode.py,1812,1643,296,1,8%
Lib\test\test_unicode_file.py,86,71,16,2,19%
Lib\test\test_unicode_file_functions.py,108,73,40,4,33%
Lib\test\test_unicode_identifiers.py,25,19,6,1,29%
Lib\test\test_unicodedata.py,248,246,54,0,1%
Lib\test\test_unittest.py,8,3,2,1,60%
Lib\test\test_univnewlines.py,90,81,40,1,8%
Lib\test\test_unpack.py,19,11,6,1,44%
Lib\test\test_unpack_ex.py,9,3,2,1,64%
Lib\test\test_unparse.py,378,283,62,1,24%
Lib\test\test_urllib2.py,1180,1174,196,0,1%
Lib\test\test_urllib2_localnet.py,454,449,72,0,1%
Lib\test\test_urllib2net.py,209,203,30,0,3%
Lib\test\test_urllib.py,1016,1014,100,0,1%
Lib\test\test_urllib_response.py,45,33,4,1,31%
Lib\test\test_urllibnet.py,123,115,12,0,6%
Lib\test\test_urlparse.py,846,761,96,1,10%
Lib\test\test_userdict.py,150,134,34,1,10%
Lib\test\test_userlist.py,55,40,10,1,28%
Lib\test\test_userstring.py,39,27,10,1,31%
Lib\test\test_utf8_mode.py,158,124,38,1,19%
Lib\test\test_utf8source.py,24,17,6,1,40%
Lib\test\test_uu.py,161,128,20,1,23%
Lib\test\test_uuid.py,394,380,204,0,2%
Lib\test\test_venv.py,358,287,72,3,19%
Lib\test\test_wait3.py,36,27,12,1,21%
Lib\test\test_wait4.py,27,19,12,1,23%
Lib\test\test_wave.py,105,37,22,4,68%
Lib\test\test_weakref.py,1524,1327,228,1,13%
Lib\test\test_weakset.py,398,332,94,1,16%
Lib\test\test_webbrowser.py,188,115,38,2,44%
Lib\test\test_winconsoleio.py,139,113,18,2,19%
Lib\test\test_winreg.py,297,240,38,1,20%
Lib\test\test_winsound.py,90,52,16,1,42%
Lib\test\test_with.py,592,485,112,6,21%
Lib\test\test_wsgiref.py,474,470,78,0,1%
Lib\test\test_xdrlib.py,54,41,6,1,30%
Lib\test\test_xml_dom_minicompat.py,91,72,12,1,23%
Lib\test\test_xml_etree.py,2428,2122,314,1,13%
Lib\test\test_xml_etree_c.py,163,156,24,0,4%
Lib\test\test_xmlrpc.py,998,990,148,0,1%
Lib\test\test_xmlrpc_net.py,18,14,8,0,15%
Lib\test\test_xxlimited.py,67,63,6,0,5%
Lib\test\test_xxtestfuzz.py,17,13,4,0,19%
Lib\test\test_yield_from.py,660,620,60,1,6%
Lib\test\test_zipapp.py,299,248,10,1,18%
Lib\test\test_zipfile64.py,95,72,30,1,22%
Lib\test\test_zipfile.py,2289,1875,351,1,19%
Lib\test\test_zipimport.py,563,460,46,1,18%
Lib\test\test_zipimport_support.py,123,108,22,0,10%
Lib\test\test_zlib.py,614,499,98,1,19%
Lib\test\test_zoneinfo\__init__.py,1,0,0,0,100%
Lib\test\test_zoneinfo\_support.py,55,27,8,0,48%
Lib\test\test_zoneinfo\test_zoneinfo.py,1063,1041,232,0,2%
Lib\test\tracedmodules\__init__.py,0,0,0,0,100%
Lib\test\tracedmodules\testmod.py,5,3,0,0,40%
Lib\timeit.py,168,145,70,1,11%
Lib\tkinter\__init__.py,1968,1944,518,2,1%
Lib\tkinter\constants.py,73,0,0,0,100%
Lib\tomllib\__init__.py,3,0,0,0,100%
Lib\tomllib\_parser.py,458,397,190,0,11%
Lib\tomllib\_re.py,35,20,8,0,35%
Lib\tomllib\_types.py,4,0,0,0,100%
Lib\trace.py,411,367,192,1,8%
Lib\tracemalloc.py,347,244,133,0,26%
Lib\tty.py,25,24,0,0,4%
Lib\turtle.py,1757,1754,736,0,1%
Lib\unittest\__init__.py,23,4,2,0,84%
Lib\unittest\async_case.py,55,34,10,0,35%
Lib\unittest\case.py,762,564,308,1,21%
Lib\unittest\loader.py,293,234,118,2,17%
Lib\unittest\main.py,162,133,68,0,13%
Lib\unittest\mock.py,1556,1247,744,16,17%
Lib\unittest\result.py,148,107,54,0,21%
Lib\unittest\runner.py,197,165,90,0,13%
Lib\unittest\signals.py,48,35,22,0,21%
Lib\unittest\suite.py,256,204,108,3,18%
Lib\unittest\test\__init__.py,20,13,6,1,31%
Lib\unittest\test\support.py,89,58,26,0,37%
Lib\unittest\test\test_assertions.py,212,165,34,1,21%
Lib\unittest\test\test_async_case.py,285,262,26,1,9%
Lib\unittest\test\test_break.py,209,168,30,1,21%
Lib\unittest\test\test_case.py,1270,1123,198,4,11%
Lib\unittest\test\test_discovery.py,585,576,116,0,1%
Lib\unittest\test\test_functiontestcase.py,70,58,12,1,18%
Lib\unittest\test\test_loader.py,899,789,264,4,10%
Lib\unittest\test\test_program.py,324,256,52,1,22%
Lib\unittest\test\test_result.py,973,865,114,1,12%
Lib\unittest\test\test_runner.py,909,847,158,1,7%
Lib\unittest\test\test_setups.py,422,397,82,1,6%
Lib\unittest\test\test_skipping.py,446,417,70,1,6%
Lib\unittest\test\test_suite.py,254,210,82,5,17%
Lib\unittest\util.py,124,103,56,0,12%
Lib\venv\__init__.py,298,270,144,2,7%
Lib\wave.py,385,309,156,0,16%
Lib\webbrowser.py,417,322,206,3,20%
Lib\xdrlib.py,170,108,40,0,33%
Lib\xmlrpc\__init__.py,0,0,0,0,100%
Lib\xmlrpc\client.py,721,714,226,0,1%
Lib\xmlrpc\server.py,418,417,144,0,1%
Lib\zipapp.py,105,84,58,2,15%
Lib\zoneinfo\__init__.py,14,4,2,0,62%
Lib\zoneinfo\_common.py,70,61,26,0,14%
Lib\zoneinfo\_tzpath.py,85,61,50,4,22%
Programs\test_frozenmain.py,7,0,2,0,100%
Tools\c-analyzer\c_analyzer\__init__.py,48,38,22,0,14%
Tools\c-analyzer\c_analyzer\__main__.py,297,259,118,2,10%
Tools\c-analyzer\c_analyzer\analyze.py,214,196,162,0,5%
Tools\c-analyzer\c_analyzer\datafiles.py,54,37,22,0,22%
Tools\c-analyzer\c_analyzer\info.py,234,175,119,0,18%
Tools\c-analyzer\c_analyzer\match.py,114,98,76,0,8%
Tools\c-analyzer\c_common\__init__.py,1,0,0,0,100%
Tools\c-analyzer\c_common\clsutil.py,68,47,26,2,29%
Tools\c-analyzer\c_common\fsutil.py,282,248,192,0,7%
Tools\c-analyzer\c_common\iterutil.py,41,38,14,0,5%
Tools\c-analyzer\c_common\logging.py,28,19,10,0,29%
Tools\c-analyzer\c_common\misc.py,6,1,2,0,88%
Tools\c-analyzer\c_common\scriptutil.py,447,393,232,1,9%
Tools\c-analyzer\c_common\strutil.py,28,23,14,0,12%
Tools\c-analyzer\c_common\tables.py,244,215,158,0,7%
Tools\c-analyzer\c_parser\__init__.py,44,35,28,0,12%
Tools\c-analyzer\c_parser\__main__.py,145,120,60,1,13%
Tools\c-analyzer\c_parser\datafiles.py,79,61,40,0,15%
Tools\c-analyzer\c_parser\info.py,1126,826,538,2,21%
Tools\c-analyzer\c_parser\match.py,113,92,68,0,12%
Tools\c-analyzer\c_parser\parser\__init__.py,63,55,30,0,9%
Tools\c-analyzer\c_parser\parser\_info.py,130,103,60,0,16%
Tools\c-analyzer\c_parser\parser\_regexes.py,35,0,4,2,95%
Tools\c-analyzer\c_parser\preprocessor\__init__.py,95,74,56,0,14%
Tools\c-analyzer\c_parser\preprocessor\__main__.py,78,61,24,1,20%
Tools\c-analyzer\c_parser\preprocessor\common.py,85,67,36,0,15%
Tools\c-analyzer\c_parser\preprocessor\errors.py,72,49,32,0,32%
Tools\c-analyzer\c_parser\preprocessor\gcc.py,59,47,34,0,13%
Tools\c-analyzer\c_parser\preprocessor\pure.py,12,9,4,0,19%
Tools\c-analyzer\c_parser\source.py,45,36,22,0,13%
Tools\c-analyzer\cpython\__init__.py,5,0,4,0,100%
Tools\c-analyzer\cpython\__main__.py,200,172,80,2,11%
Tools\c-analyzer\cpython\_analyzer.py,213,173,133,0,13%
Tools\c-analyzer\cpython\_capi.py,373,322,233,0,9%
Tools\c-analyzer\cpython\_files.py,39,31,24,0,13%
Tools\c-analyzer\cpython\_parser.py,36,12,14,0,64%
Tools\clinic\clinic.py,2840,2206,1332,14,20%
Tools\clinic\cpp.py,109,95,64,1,10%
Tools\freeze\test\freeze.py,122,99,38,0,16%
Tools\peg_generator\pegen\__init__.py,0,0,0,0,100%
Tools\peg_generator\pegen\ast_dump.py,52,50,30,0,2%
Tools\peg_generator\pegen\build.py,136,112,38,0,14%
Tools\peg_generator\pegen\c_generator.py,538,455,177,0,13%
Tools\peg_generator\pegen\first_sets.py,91,63,30,1,26%
Tools\peg_generator\pegen\grammar.py,231,130,90,1,45%
Tools\peg_generator\pegen\grammar_parser.py,290,237,140,1,13%
Tools\peg_generator\pegen\grammar_visualizer.py,43,29,16,1,29%
Tools\peg_generator\pegen\parser.py,246,201,88,0,14%
Tools\peg_generator\pegen\parser_generator.py,246,180,90,0,23%
Tools\peg_generator\pegen\python_generator.py,228,181,96,0,16%
Tools\peg_generator\pegen\sccutils.py,49,45,30,0,5%
Tools\peg_generator\pegen\testutil.py,83,56,12,0,31%
Tools\peg_generator\pegen\tokenizer.py,83,66,42,0,15%
Tools\peg_generator\pegen\validator.py,27,15,16,0,42%
Tools\peg_generator\scripts\__init__.py,0,0,0,0,100%
Tools\peg_generator\scripts\test_parse_directory.py,93,63,27,1,26%
Tools\peg_generator\scripts\test_pypi_packages.py,53,32,16,1,32%
TOTAL,330617,290105,74003,835,12%
