Name,Stmts,Miss,Cover
Lib\idlelib\percolator.py,91,89,2%
Lib\idlelib\pyparse.py,286,256,10%
Lib\idlelib\pyshell.py,1105,1100,1%
Lib\idlelib\query.py,212,207,2%
Lib\idlelib\redirector.py,74,73,1%
Lib\idlelib\replace.py,193,191,1%
Lib\idlelib\rpc.py,434,339,22%
Lib\idlelib\run.py,405,391,3%
Lib\idlelib\runscript.py,128,123,4%
Lib\idlelib\scrolledlist.py,112,111,1%
Lib\idlelib\search.py,79,78,1%
Lib\idlelib\searchengine.py,157,155,1%
Lib\idlelib\stackviewer.py,122,118,3%
Lib\idlelib\statusbar.py,39,38,3%
Lib\idlelib\textview.py,85,84,1%
Lib\idlelib\tooltip.py,92,91,1%
Lib\idlelib\tree.py,359,357,1%
Lib\idlelib\undo.py,257,202,21%
Lib\idlelib\util.py,5,2,60%
Lib\idlelib\window.py,71,70,1%
Lib\idlelib\zoomheight.py,66,63,5%
Lib\idlelib\zzdummy.py,32,31,3%
Lib\imaplib.py,739,609,18%
Lib\imghdr.py,108,104,4%
Lib\imp.py,169,168,1%
Lib\lib2to3\__init__.py,2,0,100%
Lib\lib2to3\btm_matcher.py,90,73,19%
Lib\lib2to3\btm_utils.py,167,148,11%
Lib\lib2to3\fixer_base.py,77,42,45%
Lib\lib2to3\fixer_util.py,250,204,18%
Lib\lib2to3\fixes\__init__.py,0,0,100%
Lib\lib2to3\fixes\fix_imports2.py,5,0,100%
Lib\lib2to3\fixes\fix_imports.py,49,34,31%
Lib\lib2to3\fixes\fix_urllib.py,107,96,10%
Lib\lib2to3\main.py,158,142,10%
Lib\lib2to3\patcomp.py,135,116,14%
Lib\lib2to3\pgen2\__init__.py,1,0,100%
Lib\lib2to3\pgen2\driver.py,112,69,38%
Lib\lib2to3\pgen2\grammar.py,51,15,71%
Lib\lib2to3\pgen2\literals.py,40,33,18%
Lib\lib2to3\pgen2\parse.py,83,70,16%
Lib\lib2to3\pgen2\pgen.py,297,265,11%
Lib\lib2to3\pgen2\token.py,73,3,96%
